protein1 protein2 combined_score
511145.b0002 511145.b3091 153
511145.b0002 511145.b4207 284
511145.b0002 511145.b3258 254
511145.b0002 511145.b2530 196
511145.b0002 511145.b1945 294
511145.b0002 511145.b0600 331
511145.b0002 511145.b0407 196
511145.b0002 511145.b1971 173
511145.b0002 511145.b0436 457
511145.b0002 511145.b3128 153
511145.b0002 511145.b2379 331
511145.b0002 511145.b4052 183
511145.b0002 511145.b3940 997
511145.b0002 511145.b2290 331
511145.b0002 511145.b4024 900
511145.b0002 511145.b3347 284
511145.b0003 511145.b0907 205
511145.b0003 511145.b0870 212
511145.b0004 511145.b1581 157
511145.b0004 511145.b2560 157
511145.b0004 511145.b0386 284
511145.b0004 511145.b2708 215
511145.b0004 511145.b3197 215
511145.b0004 511145.b2600 317
511145.b0004 511145.b4388 281
511145.b0006 511145.b0587 343
511145.b0008 511145.b2421 386
511145.b0008 511145.b2464 900
511145.b0008 511145.b3781 457
511145.b0008 511145.b2465 270
511145.b0008 511145.b0071 286
511145.b0008 511145.b2779 156
511145.b0008 511145.b0688 212
511145.b0008 511145.b0605 442
511145.b0008 511145.b2926 155
511145.b0008 511145.b1779 443
511145.b0008 511145.b2935 259
511145.b0009 511145.b2991 420
511145.b0009 511145.b0785 153
511145.b0009 511145.b2231 451
511145.b0009 511145.b1224 398
511145.b0009 511145.b0781 154
511145.b0009 511145.b1727 559
511145.b0009 511145.b0782 900
511145.b0009 511145.b1864 343
511145.b0009 511145.b0783 155
511145.b0009 511145.b3856 398
511145.b0009 511145.b0827 398
511145.b0011 511145.b1073 421
511145.b0011 511145.b1778 398
511145.b0014 511145.b3310 282
511145.b0014 511145.b2274 341
511145.b0014 511145.b3304 279
511145.b0014 511145.b2518 280
511145.b0014 511145.b2811 457
511145.b0014 511145.b0929 161
511145.b0014 511145.b0032 286
511145.b0014 511145.b3316 256
511145.b0014 511145.b3297 267
511145.b0014 511145.b2851 341
511145.b0014 511145.b0605 276
511145.b0014 511145.b3303 276
511145.b0014 511145.b0169 360
511145.b0014 511145.b3342 240
511145.b0014 511145.b1000 620
511145.b0014 511145.b3295 525
511145.b0014 511145.b0525 289
511145.b0014 511145.b0318 398
511145.b0014 511145.b0473 882
511145.b0014 511145.b0474 240
511145.b0014 511145.b1387 203
511145.b0014 511145.b1923 372
511145.b0014 511145.b0015 999
511145.b0014 511145.b2463 465
511145.b0014 511145.b3461 562
511145.b0014 511145.b3340 247
511145.b0014 511145.b3296 254
511145.b0014 511145.b2926 196
511145.b0014 511145.b2522 341
511145.b0014 511145.b2927 235
511145.b0014 511145.b3315 240
511145.b0014 511145.b3596 163
511145.b0014 511145.b4207 335
511145.b0014 511145.b2567 161
511145.b0014 511145.b0894 457
511145.b0014 511145.b1779 258
511145.b0014 511145.b2275 341
511145.b0014 511145.b3983 252
511145.b0014 511145.b3734 154
511145.b0014 511145.b3210 330
511145.b0014 511145.b3313 514
511145.b0014 511145.b2779 374
511145.b0014 511145.b1493 199
511145.b0014 511145.b3308 258
511145.b0014 511145.b0932 165
511145.b0014 511145.b2610 238
511145.b0014 511145.b0049 275
511145.b0014 511145.b2721 526
511145.b0014 511145.b3807 174
511145.b0014 511145.b3686 629
511145.b0014 511145.b1646 237
511145.b0014 511145.b3702 374
511145.b0014 511145.b2529 247
511145.b0014 511145.b3320 269
511145.b0014 511145.b0881 457
511145.b0014 511145.b2614 999
511145.b0014 511145.b3987 466
511145.b0014 511145.b3321 281
511145.b0014 511145.b2530 166
511145.b0014 511145.b2237 293
511145.b0014 511145.b3363 289
511145.b0014 511145.b3306 276
