True,bla_0,bla_1,bla_2,bla_3,bla_4,bla_5,bla_6,bla_7,bla_8,bla_9,bla_10,bla_11,bla_12,bla_13,bla_14,bla_15,bla_16,bla_17,bla_18,bla_19,bla_20,bla_21,bla_22,bla_23,bla_24,bla_25,bla_26,bla_27,bla_28,bla_29,bla_30,bla_31,bla_32,bla_33,bla_34,bla_35,bla_36,bla_37,bla_38,bla_39,bla_40,bla_41,bla_42,bla_43,bla_44,bla_45,bla_46,bla_47,bla_48,bla_49,bla_50,bla_51,bla_52,bla_53,bla_54,bla_55,bla_56,bla_57,bla_58,bla_59,bla_60,bla_61,bla_62,bla_63,bla_64,bla_65,bla_66,bla_67,bla_68,bla_69,bla_70,bla_71,bla_72,bla_73,bla_74,bla_75,bla_76,bla_77,bla_78,bla_79,bla_80,bla_81,bla_82,bla_83,bla_84,bla_85,bla_86,bla_87,bla_88,bla_89,bla_90,bla_91,bla_92,bla_93,bla_94,bla_95,bla_0.1,bla_1.1,bla_2.1,bla_3.1,bla_4.1,bla_5.1,bla_6.1,bla_7.1,bla_8.1,bla_9.1,bla_10.1,bla_11.1,bla_12.1,bla_13.1,bla_14.1,bla_15.1,bla_16.1,bla_17.1,bla_18.1,bla_19.1,bla_20.1,bla_21.1,bla_22.1,bla_23.1,bla_24.1,bla_25.1,bla_26.1,bla_27.1,bla_28.1,bla_29.1,bla_30.1,bla_31.1,bla_32.1,bla_33.1,bla_34.1,bla_35.1,bla_36.1,bla_37.1,bla_38.1,bla_39.1,bla_40.1,bla_41.1,bla_42.1,bla_43.1,bla_44.1,bla_45.1,bla_46.1,bla_47.1,bla_48.1,bla_49.1,bla_50.1,bla_51.1,bla_52.1,bla_53.1,bla_54.1,bla_55.1,bla_56.1,bla_57.1,bla_58.1,bla_59.1,bla_60.1,bla_61.1,bla_62.1,bla_63.1,bla_64.1,bla_65.1,bla_66.1,bla_67.1,bla_68.1,bla_69.1,bla_70.1,bla_71.1,bla_72.1,bla_73.1,bla_74.1,bla_75.1,bla_76.1,bla_77.1,bla_78.1,bla_79.1,bla_80.1,bla_81.1,bla_82.1,bla_83.1,bla_84.1,bla_85.1,bla_86.1,bla_87.1,bla_88.1,bla_89.1,bla_90.1,bla_91.1,bla_92.1,bla_93.1,bla_94.1,bla_95.1
b0016,-0.14952458,0.08360147,0.50172275,0.24080266,-0.3600955,-0.013039798,0.0828554,0.41032654,0.2914694,-0.67843115,-0.08674802,0.28541964,0.051606346,0.239503,0.002834834,0.013774992,-0.15074481,0.023122799,0.35528404,-0.023921011,0.17620163,0.049027003,0.28276813,-0.24000446,-0.25171018,-0.0063396227,0.27733815,0.0937456,-0.5832578,0.09562207,-0.08342953,-0.6734592,0.1567405,-0.28111485,-0.13308042,-0.5704309,-0.0329648,0.5337718,-0.37490347,-0.2533116,0.0832004,-0.36917642,0.32180837,0.63462925,0.31708452,0.2810764,0.09270148,0.12077714,0.29223216,-0.3645146,-0.017001722,-0.08634958,-0.32513055,0.40945834,-0.24569708,-0.30683652,0.32740366,-0.5710502,-0.09341841,0.24510081,0.09538536,-0.20905198,0.42901564,0.28917778,-0.4133276,0.14593486,-0.14225863,-0.15955536,-0.52582663,0.08622483,0.47796583,-0.075393304,-0.4449649,-0.010415233,0.3086702,-0.4579771,-0.06321813,-0.3355733,0.12554213,-0.4193344,-0.32370153,-0.24292223,-0.4113114,0.25240913,-0.11342828,-0.70079505,-0.13713692,0.17625993,-0.076843806,0.014879103,0.40209183,0.4528557,-0.30667454,-0.29252103,-0.19027281,-0.222298,0.4575705,0.12583932,0.22170039,0.82671887,-0.9146215,-0.3888765,0.7048996,-0.116976395,0.076492295,-0.262155,-0.10166598,-0.38969395,0.22747605,0.34230664,-0.43893862,-0.081325926,-0.16955124,-0.24556394,0.09763624,0.44491994,-0.09272257,0.04079799,0.25157323,0.4075719,-0.5249047,0.19251148,0.17963229,0.40432376,0.8019106,0.15385208,0.23346666,-0.37039772,0.2032328,0.1316792,-0.16022387,0.5570495,-0.026566532,0.44098717,-0.3617183,0.37801352,-0.10173599,-0.20979205,-0.23132452,0.40001965,-0.7041839,-0.1063726,-0.63190514,0.41987625,-0.04172547,-0.08666325,0.041788578,-0.3301743,-0.25341853,-0.23670389,0.14671426,-0.28956693,-0.3706012,0.42014667,0.21599373,-0.08116305,-0.008301151,-0.1555623,-0.29832852,0.11555245,-0.42102927,0.47638223,-0.10088344,0.1845966,0.0005578801,-0.07378837,0.14396936,-0.08962792,0.48267663,0.013244348,-0.16866256,0.48276684,-0.28949642,0.18718582,0.51253885,-0.10128622,-0.109814875,-0.28117645,0.14710279,0.10409589,-0.26561466,0.30331042,-0.15241243,-0.0058968477,-0.18974732,-0.4490386,-0.08575282,-0.086841755,-0.77575654,-0.40176782,0.4466851,0.3002965
b0582,-0.15539491,0.04496831,0.41472575,0.27381372,-0.33969292,-0.06786543,0.0362659,0.37398407,0.2736964,-0.72532445,-0.12696154,0.29207507,0.10618919,0.26263633,-0.06660177,0.046639085,-0.10206792,0.026981775,0.4614143,-0.025544725,0.17077264,0.0129483165,0.2835782,-0.29861465,-0.26837993,0.017707257,0.26082832,0.058340076,-0.59076947,0.026928158,-0.10429651,-0.72120804,0.14515382,-0.2791826,-0.1106148,-0.5942775,-0.011395543,0.4723742,-0.34993845,-0.24845196,0.019254774,-0.38481838,0.36414105,0.6791988,0.3451901,0.26295978,0.077050366,0.1195284,0.32608816,-0.34142727,0.00056855875,-0.08113906,-0.34844184,0.35770407,-0.21454217,-0.34303576,0.31040287,-0.53074723,-0.035669986,0.27329496,0.10085608,-0.22194643,0.3808053,0.26168406,-0.36532176,0.14322992,-0.09704482,-0.17714702,-0.46985337,0.09672596,0.49092147,-0.08002085,-0.43968987,0.07158217,0.35837218,-0.45584136,-0.06768365,-0.36880887,0.25599438,-0.4221212,-0.37814838,-0.24537978,-0.39892057,0.19866,-0.043520905,-0.7420869,-0.12654434,0.11351336,-0.11038249,0.08341947,0.40849417,0.4541933,-0.3174554,-0.30863762,-0.18353616,-0.22979932,0.50988996,0.13105172,0.2655867,0.8071147,-0.9057057,-0.35987407,0.6700294,-0.042589307,0.11638271,-0.26148733,-0.07511499,-0.42428458,0.21857932,0.33190355,-0.4188566,0.016755166,-0.14132136,-0.30573863,0.15606113,0.5431731,-0.07505792,-0.056475144,0.21601275,0.4860032,-0.47823003,0.1375532,0.078007214,0.37783918,0.7489346,0.12151522,0.21643429,-0.40043727,0.22382267,0.14919591,-0.13061298,0.51974386,0.1166146,0.40880093,-0.3567456,0.41774425,-0.11624109,-0.21871737,-0.35878232,0.46215418,-0.7991154,-0.14054227,-0.751991,0.4527978,-0.009073621,-0.09350412,0.03506504,-0.37839743,-0.22929543,-0.19408633,0.18317921,-0.29326612,-0.33300057,0.32580763,0.15127774,-0.16091341,0.032350585,-0.19648424,-0.2361229,0.15308036,-0.36391443,0.4565951,-0.13227853,0.16246697,0.047540292,-0.10906868,0.15061767,-0.101000145,0.44752684,-0.0067617763,-0.18447979,0.47225568,-0.26378334,0.10735744,0.57903355,-0.13985251,-0.029096978,-0.22417438,0.17861097,0.08811215,-0.22676235,0.30669272,-0.14892933,-0.029544543,-0.20416443,-0.4157555,-0.11216683,-0.07557441,-0.7564119,-0.39351177,0.44513404,0.30132413
b2394,-0.24094781,0.09148729,0.45799914,0.26373762,-0.3292349,-0.04346711,0.1502043,0.38949457,0.24888724,-0.7695046,-0.11583636,0.26046172,0.078206,0.27820915,-0.054236647,0.0398838,-0.12424071,0.015761571,0.3723811,0.024177538,0.13758032,0.04508304,0.31941813,-0.23495983,-0.18226516,0.031257562,0.2973855,0.06667965,-0.57767546,0.068103395,-0.10467495,-0.7628138,0.15910795,-0.24398175,-0.07650157,-0.5913403,-0.02203255,0.5168135,-0.36121905,-0.23527707,-0.012113706,-0.38720313,0.36512882,0.65099865,0.33486804,0.32187352,0.058550965,0.14636338,0.29939756,-0.3739497,0.041218687,-0.10462961,-0.3076009,0.32389534,-0.2652788,-0.33140373,0.28450477,-0.5561174,-0.021713287,0.16699284,0.07218515,-0.23157538,0.4116444,0.3069588,-0.31516206,0.15205653,-0.17224485,-0.21221694,-0.4644522,0.03219421,0.45111054,-0.048129044,-0.45780888,-0.013658884,0.31581593,-0.43295845,-0.10129197,-0.3564275,0.14397289,-0.37765846,-0.35204628,-0.20737132,-0.43923378,0.2134882,-0.051129334,-0.7379408,-0.13669683,0.079041004,-0.107572235,0.117107354,0.38889208,0.45119706,-0.37376907,-0.33051184,-0.20227532,-0.19124801,0.45634547,0.22390158,0.23181012,0.7922108,-0.94475895,-0.35459486,0.6384344,-0.045539193,0.12268787,-0.25440925,-0.11142516,-0.44764832,0.20300044,0.3200097,-0.41075695,-0.0030627102,-0.14559785,-0.30423522,0.14711516,0.42440072,-0.0074193818,-0.0036460734,0.18170275,0.443639,-0.5562005,0.1888556,0.113228835,0.42085552,0.83056027,0.118606105,0.18525021,-0.40340233,0.21422161,0.09424858,-0.097365305,0.55257577,-0.033767655,0.5421103,-0.338709,0.31868234,-0.16625325,-0.26040414,-0.27321482,0.42904696,-0.76661813,-0.12698227,-0.694852,0.4167345,-0.061675392,-0.11502285,0.049369697,-0.22787552,-0.18771057,-0.22888866,0.19343841,-0.31399512,-0.3022961,0.37391606,0.10814502,-0.06089721,0.11241185,-0.16480483,-0.25846532,0.14196245,-0.43043074,0.4740147,-0.124168634,0.10024983,0.002489552,-0.07488971,0.15296103,-0.040266227,0.50513524,-0.027123626,-0.19653977,0.4184906,-0.26335457,0.16056637,0.5139228,-0.17883801,-0.10995792,-0.25645855,0.14885326,0.08060386,-0.23865594,0.3346088,-0.1079679,-0.08703989,-0.27101806,-0.40925664,-0.12716056,-0.099151485,-0.73141503,-0.4021676,0.39158303,0.31057325
b0021,-0.18844622,-0.26092497,-0.21699524,-0.19499871,0.17591102,0.22928979,-0.12515222,0.1318989,-0.045684297,0.035059717,0.23084311,-0.025558572,-0.16083658,0.58913696,0.19851387,0.12070851,0.10257372,-0.2946173,-0.3213828,-0.19759649,-0.578383,0.09851727,-0.35687664,0.017362935,-0.05936314,-0.1831199,-0.36224663,-0.0787955,0.38769332,-0.6510659,0.053592406,0.17952804,0.15548347,0.03561755,-0.00045389435,-0.28025088,-0.13362603,-0.27612182,-0.11939356,0.1003439,0.3640833,-0.10041469,0.18099037,0.04304364,-0.23124953,-0.4185994,-0.15383273,-0.70512635,0.24940686,0.23817647,-0.1814709,-0.4044853,-0.054442752,0.14133391,0.0876056,0.017961688,0.0035365077,-0.37273768,-0.2508176,-0.21572822,0.19259526,0.08201515,-0.054409638,0.08989158,-0.13545579,0.17112337,0.5649283,-0.074373454,0.11950517,0.060812164,0.095615804,0.39840245,0.15609495,0.3215808,-0.7210952,-0.47199288,0.057681344,-0.12106616,-0.49880826,0.029449005,0.29830363,-0.20483026,-0.2478662,-0.068034954,-0.27303943,-0.06680583,-0.21990557,0.05183954,0.7548063,0.13363113,0.2907256,0.4233632,-0.051401734,1.0284282,-0.41576934,-0.15781012,0.20076029,0.23051962,-0.63001776,-0.36772838,0.21371493,0.22080572,0.11101413,0.39382195,0.32950592,-0.054779,0.28854567,-0.20396884,0.4227609,0.32203776,-0.30901545,0.0838913,-0.45594049,-0.2506052,0.4402765,0.17808966,0.33286563,0.0699021,-0.03062399,-0.31281433,-0.15140435,0.022170966,0.26026478,0.5066652,-0.1451323,0.44329542,-0.19629902,-0.006049201,-0.31861204,-0.092691235,-0.10859264,0.19148415,0.046549354,0.14261597,-0.6150603,-0.04996199,0.46484786,0.7581368,0.04509747,0.5915463,-0.21814296,0.27455378,0.3541443,-0.08049279,0.16798715,-0.61567545,0.70014876,-0.15964302,0.388802,-0.5554319,-0.2866735,0.23742889,-0.1249123,0.5366689,-0.20461513,-0.1437399,0.14980869,0.07976247,-0.21874322,-0.34048498,0.0036726056,0.1467639,0.83032084,-0.04189597,-0.7082821,-0.092075504,-0.4246204,0.29165307,0.366184,0.003832294,-0.11468751,0.39188322,0.025537875,-0.21054427,-0.263199,-0.32996097,0.066569954,0.660043,0.6539166,-0.27904302,-0.56678593,0.049434263,0.67623216,-0.28845203,-0.63373256,-0.7004611,-0.03895549,0.034192342,-0.15796639,-0.3524249,0.405873,0.07618437
b4710,-0.21422306,-0.22892663,-0.22600923,-0.23611686,0.18062739,0.2076443,-0.17782287,0.058699172,-0.1566062,0.08668899,0.16868195,-0.084403135,-0.21166624,0.6177587,0.19059795,0.114911,0.0712782,-0.3335189,-0.34509316,-0.16504528,-0.5732014,0.122582935,-0.30747774,0.012732458,-0.13887736,-0.20827504,-0.35162452,-0.063317165,0.5439198,-0.6882577,0.09645854,0.16144662,0.054715633,0.1536334,-0.0011968142,-0.3375463,-0.09930786,-0.19620275,-0.050909664,0.05607343,0.36277825,-0.062148094,0.1471336,0.07674485,-0.2511111,-0.35951862,-0.17595942,-0.7469816,0.19093356,0.15062687,-0.031691283,-0.44860265,-0.031008782,0.21793677,0.14091586,0.011452623,-0.004283122,-0.32378373,-0.28446352,-0.26715723,0.047893967,0.10799607,-0.036576763,0.08774787,-0.19219229,0.17626214,0.5364043,-0.09709244,0.13337654,0.07681652,0.072185345,0.3326006,0.052782584,0.31734836,-0.69983655,-0.3557188,0.02703211,-0.11770808,-0.53984094,-0.061837256,0.25844124,-0.32265675,-0.20318872,-0.109777346,-0.3613684,-0.13814715,-0.27879965,0.020126782,0.7729907,0.19360232,0.32336488,0.53633136,-0.031831216,1.0241328,-0.41744068,-0.10300643,0.109536014,0.24912192,-0.70487773,-0.33908725,0.19845475,0.23003833,0.120427616,0.40352625,0.33992657,0.0010290646,0.34467968,-0.15460975,0.4352379,0.39093044,-0.33019018,0.11310262,-0.48453024,-0.24582623,0.37600657,0.16053583,0.2553384,0.1331726,-0.07406036,-0.3695902,-0.08694083,-0.016631076,0.23832746,0.41419652,-0.1663428,0.4197842,-0.18306175,-0.13956738,-0.24593109,-0.083962105,-0.07304,0.26362002,0.053998638,0.13155653,-0.6554646,-0.067649364,0.41755062,0.7610096,0.03733637,0.5516049,-0.18859969,0.29462352,0.26536724,-0.046724312,0.22999315,-0.6085353,0.7250008,-0.11945079,0.32696202,-0.515257,-0.37117118,0.21222812,-0.12695107,0.53172684,-0.23855396,-0.09329691,0.17523046,0.050985932,-0.15031332,-0.28681037,-0.020158852,0.1755491,0.79545146,-0.017030878,-0.80946594,-0.074419186,-0.46844012,0.26062936,0.39249924,0.021707876,-0.075559266,0.44892293,0.04436022,-0.17427199,-0.30941543,-0.26108408,0.09102676,0.6192649,0.66132694,-0.24275382,-0.45926374,0.038019218,0.6840573,-0.28274316,-0.61180305,-0.6609137,0.057007004,0.138525,-0.13498601,-0.29794723,0.39297268,0.15148024
b1893,-0.1210474,-0.18832025,-0.24839605,-0.22174743,0.11176472,0.2465934,-0.09873814,0.110975675,0.016702244,0.12645903,0.23165138,-0.02392207,-0.21485808,0.6191155,0.11950629,0.1731474,0.110199355,-0.39230594,-0.35837024,-0.15861848,-0.646094,0.0886203,-0.30979538,-0.12076401,-0.20503801,-0.20007032,-0.35983217,-0.097734906,0.44019145,-0.6099826,0.18901242,0.23516282,0.11627005,0.09401854,-0.049861427,-0.34256634,-0.16295134,-0.2538901,-0.15509166,0.10904843,0.41793448,-0.15938714,0.28941402,0.017140629,-0.2758405,-0.3770046,-0.2588276,-0.77609766,0.28976148,0.10099376,-0.13339075,-0.44162735,-0.11817616,0.10587469,0.11107176,0.027436676,0.040745437,-0.25463367,-0.21302924,-0.16787575,0.13957603,0.116252445,-0.088204816,0.085343935,-0.19645306,0.25569278,0.45730868,-0.104535766,0.1734698,0.09453817,0.03756822,0.41835937,0.11437747,0.35616538,-0.7601778,-0.46972495,-0.09014224,-0.11496519,-0.5038249,-0.030870141,0.3633318,-0.41075492,-0.2773074,-0.08542105,-0.24861954,-0.13429005,-0.3056051,0.064178854,0.7149056,0.043357175,0.28726506,0.387023,-0.023752272,0.9867662,-0.38020077,-0.08646134,0.101136625,0.22940092,-0.62717634,-0.349367,0.13571332,0.1420606,-0.0027268264,0.39413092,0.3482005,-0.047632404,0.39979845,-0.16308257,0.5037733,0.26129267,-0.37905103,0.058217194,-0.49223256,-0.30295756,0.36179408,0.18649022,0.36583984,0.018278066,-0.02207646,-0.41108978,-0.089559756,-0.00520847,0.2960979,0.45536485,-0.18465887,0.41470084,-0.13951614,-0.035973765,-0.26570514,-0.12986426,-0.064561635,0.25226295,0.02746663,0.17810135,-0.59547436,-0.08323322,0.51760393,0.7495226,-0.055487853,0.62757504,-0.21336064,0.33577308,0.23465748,-0.11329095,0.2051205,-0.59863937,0.7742532,-0.16249631,0.3799579,-0.4780637,-0.34344512,0.12838839,-0.14316227,0.5300968,-0.19549476,-0.18098171,0.14547743,0.13936494,-0.22505859,-0.29898036,-0.050262634,0.1522534,0.79606026,0.03495493,-0.7159276,-0.14248659,-0.48448724,0.2215888,0.37193388,-0.0035857484,-0.083112426,0.36852112,0.029027896,-0.19053558,-0.25272718,-0.32929957,0.115099095,0.63592523,0.6787128,-0.3141655,-0.5216745,-0.017231492,0.71022063,-0.3241454,-0.56914204,-0.57916313,-0.05005906,0.089681745,-0.1283479,-0.37261352,0.44617403,0.11784248
b3445,-0.19009589,-0.18152966,-0.28339744,-0.19049,0.17661303,0.1882905,-0.13676009,0.11958773,-0.04520868,0.1475169,0.19517404,-0.019580632,-0.18394983,0.52779883,0.18921964,0.13356702,0.05363744,-0.31660867,-0.2903829,-0.20545602,-0.5658243,0.03890444,-0.3747287,0.0017687683,-0.15726796,-0.22971678,-0.27827427,-0.11762165,0.43913487,-0.6992772,0.1457733,0.29892716,0.16864495,0.076761186,-0.06041631,-0.3346354,-0.17943397,-0.2394687,-0.10949905,0.06783015,0.43098825,-0.09731569,0.18064868,0.10512644,-0.20300566,-0.3994567,-0.1921298,-0.8089494,0.21142909,0.14254145,-0.13070129,-0.47015777,-0.064865634,0.13267079,0.058800206,0.0051571284,0.056300554,-0.353177,-0.23537572,-0.18378876,0.12504257,0.027298788,-0.011324378,-0.054332767,-0.1364366,0.20050173,0.5802284,-0.02073021,0.16838595,0.07911094,0.03219281,0.30745968,0.17049484,0.37727427,-0.68984133,-0.49892405,0.006278478,-0.09911891,-0.51563245,-0.010982439,0.37550393,-0.28651765,-0.2474982,-0.18371071,-0.3306008,-0.051483236,-0.21823215,-0.022628596,0.7263774,0.11190603,0.32349142,0.42585963,-0.04124243,0.9976294,-0.41270345,-0.13982043,0.1569356,0.17969061,-0.6795079,-0.34099305,0.16105197,0.100602925,0.06308448,0.43634558,0.31119737,-0.05263508,0.32039016,-0.20128196,0.46482942,0.36467263,-0.40417466,0.13129936,-0.48502347,-0.3062313,0.346408,0.18244594,0.31476963,0.089242175,-0.08124772,-0.3842748,-0.059939485,0.037603997,0.19039424,0.47777525,-0.25618684,0.47474337,-0.15090345,-0.045109037,-0.30181593,-0.096219376,-0.057168253,0.25771597,0.017723458,0.123794995,-0.6171438,-0.11310141,0.48835504,0.78185254,-0.04239379,0.57501805,-0.19665325,0.24028696,0.26258585,-0.060551398,0.23315006,-0.6331707,0.78601867,-0.150635,0.36080068,-0.57802707,-0.30667362,0.17277019,-0.15499903,0.51028514,-0.21968944,-0.14553876,0.19167638,0.08316595,-0.24049753,-0.37333152,0.005212907,0.16640183,0.8670265,-0.031225175,-0.7180298,-0.07266659,-0.4606697,0.22454433,0.4490229,-0.0054761637,-0.07221838,0.38170165,0.08302263,-0.15826967,-0.27876702,-0.28840092,0.081025995,0.62377274,0.62270766,-0.24527459,-0.55106246,0.019863207,0.70600885,-0.28892967,-0.4799258,-0.6144749,-0.052784566,0.1237952,-0.13557418,-0.3193327,0.4429219,0.04540233
b0022,-0.12588719,0.058972403,-0.038143467,0.07631023,0.70678616,-0.40563983,0.039594334,-0.06898327,-0.08688603,-0.1166163,0.081148215,-0.40349653,0.22663842,-0.35592777,-0.49656773,0.510808,0.32503712,-0.3261617,-0.35197306,-0.5736192,-0.27827638,-0.16195537,-0.179469,0.16694516,0.09845137,0.0540478,0.36276075,-0.20268933,-0.0662712,-0.20275013,-0.2511028,0.031003447,0.055129156,-0.3152566,-0.007372769,0.6924197,0.026962794,0.39521518,0.5138209,-0.3649931,0.19476305,0.14110199,0.59316015,0.41091257,-0.03247552,0.3032359,0.17433064,0.52120894,0.12332004,-0.081554025,0.08283805,0.2148651,0.31151116,-0.054778226,-0.2742742,-0.29911542,0.09016302,-0.33171543,0.28859678,0.26157534,-0.31363016,-0.10215091,0.030961232,0.5261295,0.100981906,0.045834906,0.31904343,0.23704378,-0.26434505,0.015298939,0.373474,-0.27412105,-0.40696356,0.10181691,-0.7887447,-0.30985877,0.122657,-0.79849106,0.3190735,-0.06802299,-0.3517485,0.0810044,0.14878817,0.4133115,-0.041758027,0.33554044,-0.35904697,-0.57172376,-0.21682546,-0.10876762,-0.16985548,-0.35551557,-0.2862096,0.06622753,-0.5388528,0.03234627,0.19897592,-0.42531157,-0.5767101,0.08012959,-0.2690222,-0.17757009,-0.005419082,-0.2546516,0.20272468,0.42658913,0.056251135,-0.7255808,0.12580858,-0.06868576,0.15785302,-0.26198405,-0.1918789,-0.27175632,0.42047298,-0.29188427,0.41804734,-0.5215972,-0.023836656,0.2235967,-0.28580415,0.58833265,-0.31095672,-0.17108963,-0.27056885,0.122931965,0.09122577,0.18761188,0.22314788,0.048982337,0.2326892,-0.274288,-0.43904084,-0.2889075,-0.67549074,-0.07150982,0.51573676,-0.48275545,0.19124164,0.5720892,-0.23725659,0.18190342,-0.25432688,-0.17067078,0.62230444,0.14906281,0.22006151,-0.060829934,0.4445571,0.4151737,0.2785676,-0.008984217,-0.28837302,-0.22451714,-0.39261258,-0.091200784,-0.26756915,0.0012240979,-0.3142592,0.39913726,0.1353343,0.24451587,0.32306162,0.61086243,-0.69889104,-0.3724481,-0.07857516,-0.293311,0.0274917,-0.028923789,-0.35307518,0.6852907,-0.024158508,0.30934155,-0.18890598,-0.22435184,0.4610282,-0.22156489,0.21539587,-0.57164943,-0.1821417,0.27076012,-0.50731075,-0.29925078,-0.12361582,-0.39325505,0.66214603,-0.28267547,-0.052577548,-0.088086806,0.45810482,0.09602611
b4709,-0.30239826,-0.02204111,0.02514548,0.11466632,0.7094137,-0.3180365,-0.020430278,-0.04145856,-0.12798844,-0.12390705,0.15850522,-0.31975117,0.17377259,-0.30693898,-0.47103232,0.5266808,0.4670301,-0.2885252,-0.29292512,-0.5418493,-0.34620687,-0.1932382,-0.16842712,0.23256347,0.08978678,-0.00092907087,0.3079926,-0.14759995,0.0014293992,-0.1675871,-0.17917602,0.017985225,0.077835165,-0.28321645,0.07838827,0.73533005,0.06296389,0.3167547,0.51952356,-0.42065924,0.044859596,0.14001648,0.54616886,0.40318224,-0.039904714,0.26405045,0.16141197,0.43826854,0.01669533,-0.060354464,0.017399313,0.22767262,0.30664995,-0.017799076,-0.26540315,-0.3788752,0.055153705,-0.3197222,0.37322265,0.18855882,-0.35017598,-0.09041902,0.049698867,0.44443202,0.12914784,0.09290943,0.36517838,0.18976495,-0.29204842,0.028660094,0.29195324,-0.30305958,-0.2694639,0.15597694,-0.859317,-0.25463346,0.16282153,-0.8051451,0.30506957,-0.04562183,-0.4241238,0.065811805,0.12244856,0.3684028,-0.11601035,0.3557983,-0.4178576,-0.55223024,-0.18858658,-0.06421791,-0.16365857,-0.3754682,-0.2810167,0.03430479,-0.63333696,0.017460912,0.32580468,-0.385837,-0.68934214,0.09341905,-0.3380165,-0.17678966,0.03515132,-0.23332246,0.21541151,0.4648056,0.022519926,-0.5890361,0.15790188,-0.102675535,0.1909428,-0.28929493,-0.27220446,-0.17946577,0.3741854,-0.30432123,0.5180038,-0.47557408,0.024420785,0.20262448,-0.19661792,0.6437942,-0.33713308,-0.2000397,-0.25054398,0.029533956,0.026608447,0.21261367,0.42160827,-0.013518731,0.22252524,-0.2904957,-0.46238613,-0.29421172,-0.7022768,-0.05650522,0.42915955,-0.53384,0.23356918,0.567385,-0.29228,0.09731248,-0.2956285,-0.09050085,0.6872853,0.23720974,0.22285505,0.0056225555,0.41898778,0.40811816,0.13903558,0.026808085,-0.27725202,-0.22903234,-0.32732856,-0.13361318,-0.1854612,-0.090442374,-0.29192218,0.31123143,0.10210404,0.24386908,0.37073848,0.6410364,-0.7034341,-0.44906086,-0.13703798,-0.2517546,0.12792283,-0.033688996,-0.3782874,0.75269526,0.05081153,0.29552996,-0.10858868,-0.2398471,0.43233067,-0.26140288,0.23518129,-0.5392214,-0.21287706,0.20856766,-0.53008765,-0.24214357,-0.13595144,-0.4124551,0.5878536,-0.21679145,-0.010940129,-0.0022926698,0.4500481,0.09790863
b1894,-0.11202484,0.1186066,-0.040101264,0.08944035,0.7005476,-0.3972233,0.051677186,-0.10188958,-0.12164385,-0.107177295,0.066633895,-0.3355552,0.15800864,-0.30301082,-0.46995386,0.517075,0.4272364,-0.3821379,-0.42181703,-0.5252068,-0.2496127,-0.163131,-0.21497773,0.20038718,0.12734179,0.03286024,0.3133982,-0.16958351,0.0033882905,-0.20286964,-0.10106478,-0.07027223,0.0133896265,-0.26741472,0.03060241,0.6547268,0.122084096,0.3220718,0.48068702,-0.30875093,0.03085652,0.19313395,0.49339157,0.3496486,-0.08989512,0.3141373,0.13929677,0.46888378,-0.01156717,-0.11315318,0.03519875,0.2840671,0.31262514,-0.07870008,-0.17892265,-0.34487408,0.0039455206,-0.33209506,0.24752513,0.25583118,-0.37592286,-0.074656524,0.082302354,0.49078014,0.13154471,0.063717134,0.39273313,0.27276358,-0.29071912,0.04699126,0.40399376,-0.37715998,-0.3146335,0.1342757,-0.83367103,-0.2749579,0.21235947,-0.7621231,0.24148165,-0.03974922,-0.4586029,0.2300866,0.20039755,0.39427757,-0.047894087,0.44296473,-0.31706217,-0.57955843,-0.15233053,-0.03091607,-0.12063177,-0.24178945,-0.24113777,0.056307256,-0.618757,0.10807202,0.20165212,-0.40475497,-0.6365394,0.11189208,-0.32608488,-0.2396922,-0.07166197,-0.22123659,0.21479973,0.49039474,-0.042123925,-0.635017,0.13130406,-0.13480452,0.14809941,-0.26301715,-0.28370947,-0.23547208,0.36102787,-0.2410244,0.5238883,-0.4417233,0.011069547,0.14078152,-0.24530229,0.597794,-0.31593817,-0.22740185,-0.30668485,0.16424529,0.07639649,0.14049892,0.34335363,0.009111612,0.26631427,-0.30675027,-0.45376274,-0.29782653,-0.7029723,-0.09674091,0.43278825,-0.4798776,0.27054724,0.57856023,-0.22805308,0.17548753,-0.3457826,-0.097403154,0.67047095,0.2942616,0.21510187,0.001243164,0.4762011,0.46411735,0.16201156,0.034237936,-0.3816112,-0.23712821,-0.36581108,-0.1109033,-0.1852109,-0.11889436,-0.30498707,0.3823657,0.09541877,0.25996077,0.29053098,0.65138763,-0.69652945,-0.36035103,-0.14754148,-0.19286023,0.03404405,-0.024463562,-0.33712158,0.69549435,-0.0051572244,0.2864809,-0.16924305,-0.25445408,0.36615008,-0.27263048,0.2289238,-0.5871305,-0.16990711,0.1920279,-0.4825151,-0.24119712,-0.08906444,-0.3247,0.652854,-0.23539568,-0.08624221,-0.026528947,0.4484809,0.103419
